agent-type,agent-id,triadstack,tick
basic-agents,B-ID-20,[[Oil -1 TS-B-ID-20-T-ID-1] [Trade 2 TS-B-ID-20-T-ID-2] [Persec 1.3 TS-B-ID-20-T-ID-3] [Oil 1 TS-B-ID-20-T-ID-4] [Oil -2 TS-B-ID-20-T-ID-5] [Oil -1.5 TS-B-ID-20-T-ID-6]],0
basic-agents,B-ID-21,[[Oil -1 TS-B-ID-21-T-ID-1] [Trade 2 TS-B-ID-21-T-ID-2] [Persec 1.3 TS-B-ID-21-T-ID-3] [Oil 1 TS-B-ID-21-T-ID-4] [Oil -2 TS-B-ID-21-T-ID-5] [Oil -1.5 TS-B-ID-21-T-ID-6]],0
basic-agents,B-ID-22,[[Oil -1 TS-B-ID-22-T-ID-1] [Trade 2 TS-B-ID-22-T-ID-2] [Persec 1.3 TS-B-ID-22-T-ID-3] [Oil 1 TS-B-ID-22-T-ID-4] [Oil -2 TS-B-ID-22-T-ID-5] [Oil -1.5 TS-B-ID-22-T-ID-6]],0
basic-agents,B-ID-23,[[Oil -1 TS-B-ID-23-T-ID-1] [Trade 2 TS-B-ID-23-T-ID-2] [Persec 1.3 TS-B-ID-23-T-ID-3] [Oil 1 TS-B-ID-23-T-ID-4] [Oil -2 TS-B-ID-23-T-ID-5] [Oil -1.5 TS-B-ID-23-T-ID-6]],0
basic-agents,B-ID-24,[[Oil -1 TS-B-ID-24-T-ID-1] [Trade 2 TS-B-ID-24-T-ID-2] [Persec 1.3 TS-B-ID-24-T-ID-3] [Oil 1 TS-B-ID-24-T-ID-4] [Oil -2 TS-B-ID-24-T-ID-5] [Oil -1.5 TS-B-ID-24-T-ID-6]],0
basic-agents,B-ID-25,[[Oil -1 TS-B-ID-25-T-ID-1] [Trade 2 TS-B-ID-25-T-ID-2] [Persec 1.3 TS-B-ID-25-T-ID-3] [Oil 1 TS-B-ID-25-T-ID-4] [Oil -2 TS-B-ID-25-T-ID-5] [Oil -1.5 TS-B-ID-25-T-ID-6]],0
basic-agents,B-ID-26,[[Oil -1 TS-B-ID-26-T-ID-1] [Trade 2 TS-B-ID-26-T-ID-2] [Persec 1.3 TS-B-ID-26-T-ID-3] [Oil 1 TS-B-ID-26-T-ID-4] [Oil -2 TS-B-ID-26-T-ID-5] [Oil -1.5 TS-B-ID-26-T-ID-6]],0
basic-agents,B-ID-27,[[Oil -1 TS-B-ID-27-T-ID-1] [Trade 2 TS-B-ID-27-T-ID-2] [Persec 1.3 TS-B-ID-27-T-ID-3] [Oil 1 TS-B-ID-27-T-ID-4] [Oil -2 TS-B-ID-27-T-ID-5] [Oil -1.5 TS-B-ID-27-T-ID-6]],0
basic-agents,B-ID-28,[[Oil -1 TS-B-ID-28-T-ID-1] [Trade 2 TS-B-ID-28-T-ID-2] [Persec 1.3 TS-B-ID-28-T-ID-3] [Oil 1 TS-B-ID-28-T-ID-4] [Oil -2 TS-B-ID-28-T-ID-5] [Oil -1.5 TS-B-ID-28-T-ID-6]],0
basic-agents,B-ID-29,[[Oil -1 TS-B-ID-29-T-ID-1] [Trade 2 TS-B-ID-29-T-ID-2] [Persec 1.3 TS-B-ID-29-T-ID-3] [Oil 1 TS-B-ID-29-T-ID-4] [Oil -2 TS-B-ID-29-T-ID-5] [Oil -1.5 TS-B-ID-29-T-ID-6]],0
